,dude_id,ef0.1,ef1,ef10,ef1_perc,ef2,ef5,engine,mse,rk,rk_active,rk_inactive,roc_auc,roc_log_auc,rp,rp_active,rp_inactive,rs,rs_active,rs_inactive,score
0,aa2ar,24.815625,17.272091195,5.47813188543,0.261006289308,13.3182389937,8.12090937697,dude,2395.63175467,-0.115777840043,-0.0823388277424,,0.836413182457,0.429364176188,-0.0325397943509,-0.117244038676,1.05124551702e-16,-0.142212243582,-0.123055403243,,native
1,aa2ar,0.0,4.3858530548,2.85665428962,0.0409556313993,4.94251901944,4.39485275327,vina,214.132711371,-0.0597843540336,-0.044545990212,,0.720163316186,0.268065856671,-0.074040379275,-0.0538228770995,6.76731086902e-16,-0.0733819784542,-0.0684937693279,,native
2,aa2ar,3.75410833841,1.1298772669,0.830188679245,0.00970873786408,1.32032659552,0.981132075472,dock,2536.26209342,-0.00867855395224,0.00548675689102,,0.533326030948,0.156575100724,-0.00917974251015,0.00882359887599,1.21044852519e-15,-0.0106513125318,0.00783733939419,,native
3,abl1,59.6187845304,17.1127992634,5.02343462247,0.287037037037,12.1445672192,6.7347145488,dude,88811.3239219,-0.113452123304,-0.179333149687,,0.812807421332,0.407358599742,-0.00499603678249,-0.29902572271,6.88719079028e-18,-0.139300606414,-0.246015145719,,native
4,abl1,0.0,10.4932838459,5.36233121631,0.141304347826,11.3622106713,8.77472380851,vina,216.913364108,-0.0983224846237,-0.141969761912,,0.802116293275,0.389198517076,-0.127476120994,-0.127134435459,-1.81329078734e-16,-0.120682036205,-0.202804330118,,native
5,abl1,16.1201848998,5.91073446328,2.87915432309,0.0666666666667,6.33292978208,4.23001035063,dock,3574.35522282,-0.0452756063734,-0.22714837795,,0.65136015966,0.259433089555,-0.07244820478,-0.343684731739,-5.15739645575e-16,-0.0556127539213,-0.331819387668,,native
6,ace,33.7663107948,17.4163076731,4.697233867,0.286549707602,12.6179371917,7.33053164093,dude,3181.95486965,-0.0783787645675,-0.105553451821,,0.718274692929,0.372337483075,-0.101327672202,-0.142170286065,1.54136224116e-16,-0.0963291537736,-0.156225263836,,native
7,ace,0.0,1.74803573351,1.40273144399,0.0122699386503,1.75341430499,1.22663516109,vina,200.701826671,-0.0161832702785,0.0487085049395,,0.568736204621,0.176145394912,-0.0110732003641,0.081883156516,1.02660447097e-15,-0.0198613127826,0.0719719064601,,native
8,ace,0.0,3.49028259271,1.40283319611,0.0239520958084,2.18797745114,0.876770747567,dock,1216.46622694,-0.0151767682951,-0.0297277186369,,0.565054137344,0.179061752119,-0.0167510733196,-0.0178988356564,0.0,-0.0186155639135,-0.0361380635436,,native
9,aces,35.9252409994,17.8155466419,3.75499808738,0.344978165939,11.4133390101,5.87874729577,dude,6598795.84398,-0.11371378561,-0.0138401448616,,0.793093008015,0.377364885719,-0.00817330974997,-0.0470089585343,0.0,-0.139890432896,-0.0191522679934,,native
10,aces,25.5423631124,12.9262971217,4.03458213256,0.182186234818,9.78634602007,6.34005763689,vina,233.972924684,-0.0850536908546,-0.126231171688,,0.755549358041,0.345080411557,-0.0952066833618,-0.142365447499,5.06072169417e-16,-0.104470758444,-0.185244679056,,native
11,aces,6.5798816568,4.34375,2.80892524208,0.05078125,4.00961538462,3.14332110423,dock,5566.83559003,-0.0331432660377,0.0308789723873,,0.609422845706,0.230254291166,-0.0303102004769,0.0311672038542,2.17709365334e-16,-0.0407134288662,0.0481475500057,,native
12,ada,19.7849462366,18.0184331797,4.83870967742,0.303571428571,12.8334786399,7.74193548387,dude,3775.56291965,-0.0967308701981,0.0302285459028,,0.766907200358,0.388262660532,-0.0300702027922,0.104455034491,-3.44642683863e-17,-0.118889246909,0.067478437764,,native
13,ada,0.0,2.91938997821,1.17647058824,0.0185185185185,1.45969498911,0.588235294118,vina,192.003042002,0.00423298735701,-0.105357310838,,0.480959112898,0.144685052566,-0.0012062601053,-0.0478874983243,4.84582252514e-16,0.00519843378474,-0.150672373397,,native
14,ada,0.0,0.0,0.880898513251,0.0,1.45748663102,1.7617970265,dock,4325.44827137,-0.00133713557302,0.201786036011,,0.50631997307,0.147549622934,0.0105566067952,0.293301921664,-8.64117087799e-17,-0.00164343426156,0.267114917544,,native
15,ada17,49.7313554156,19.7129186603,4.54837037436,0.289256198347,12.5787195261,7.2924285341,dude,3237.04323778,-0.0898833718087,-0.0327556626899,,0.765079714107,0.398470453744,-0.0813410378406,-0.0515036837975,-6.78702939385e-16,-0.110470491538,-0.0476112975495,,native
16,ada17,79.729823047,28.9269199264,4.29003021148,0.279883381924,16.7477892694,7.42985233278,vina,222.652736252,-0.0604041402553,-0.189675698351,,0.718231641681,0.423261660223,-0.113806378414,-0.271607289636,-1.54032985358e-15,-0.0741517961568,-0.276949853738,,native
17,ada17,0.0,5.8269451053,1.89003436426,0.048433048433,4.80550612527,2.61093807957,dock,4013.74855964,-0.0404883631073,-0.161566736938,,0.657656477944,0.232398261124,-0.0543861419469,-0.196842548699,-3.04571599803e-16,-0.0496710401118,-0.223878028087,,native
18,adrb1,15.5607287449,9.2960197697,4.37076386074,0.149350649351,7.07305852043,5.58486493316,dude,22614.4254638,-0.0884058356728,-0.10716427081,,0.749135725085,0.32930488676,-0.0192279488273,-0.171738503324,-1.29397169173e-17,-0.108640188412,-0.160142685405,,native
19,adrb1,17.7512755102,6.50880102041,3.98723573481,0.0785714285714,5.9383000512,4.87990045156,vina,222.512324211,-0.0855602155992,0.121495895244,,0.778196422943,0.31849766088,-0.0832318909474,0.11710079593,1.15358219907e-16,-0.10511662671,0.191559031391,,native
